recipe_id,title,ingredients,quantities
1,Masala Karela Recipe,"salt,amchur (dry mango powder),karela (bitter gourd pavakkai),red chilli powder,gram flour (besan),onion,cumin seeds (jeera),coriander powder,turmeric powder,sunflower oil","1,1,1,1,1,1,1,1,1,1"
2,Spicy Tomato Rice (Recipe),"tomato,salt,chickpea lentils,green chilli,rice,mustard,bc belle bhat powder,dry red chilli,cashew peanuts,oilasafoetida,cumin seeds,white urad dal","1,1,1,1,1,1,1,1,1,1,1,1"
3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"salt,rice vermicelli noodles (thin),asafoetida (hing),mustard seeds,ghee,green peas (matar),carrot,curry leaves,white urad dal (split),onion,lemon,green chillies","1,1,1,1,1,1,1,1,1,1,1,1"
4,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,"tomato,salt,ginger,sorrel leaves (gongura),fennel seeds (saunf),sesame (gingelly) oil,cloves garlic,coriander (dhania) seeds,onion,chicken,methi seeds (fenugreek seeds),dry red chillies,turmeric powder,green chillies,garam masala powder","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
5,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),"tomato,salt,ginger,red chillies,curry,asafoetida,mustard,chana dal,onion,oil,coriander seeds,white urad dal","1,1,1,1,1,1,1,1,1,1,1,1"
6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"cashew nuts,salt,yellow moong dal (split),ginger,green chilli,rice,coriander (dhania) leaves,ghee,asafoetida (hing),water,black peppercorns,curry leaves,cumin seeds (jeera),mint leaves (pudina),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
7,Udupi Style Ash Gourd Coconut Curry Recipe,"salt,tamarind water,coconut,mustard seeds,jaggery,vellai poosanikai (ash gourdwhite pumpkin),curry leaves,dry red chillies,coriander (dhania) seeds,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder,sesame seeds (til seeds),sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
8,Mexican Style Black Bean Burrito Recipe,"tomato,spring onion greens,hung curd (greek yogurt),black beans,cloves garlic,rice brown rice,coriander (dhania) leaves,onion,lemon,cheddar cheese,spinach leaves (palak),tortillas","1,1,1,1,1,1,1,1,1,1,1,1"
9,Spicy Crunchy Masala Idli Recipe,"tomato,salt,coriander (dhania) leaves,idli,red chilli powder,tomato ketchup,onion,green bell pepper (capsicum),mint leaves (pudina),turmeric powder,green chillies,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1"
10,Cauliflower Leaves Chutney (Recipe in Hindi),"tomato,salt,turmeric powder,red chillies,spoon oil,rye,asafoetida,cloves garlic,curry leaves,cabbage leaves,tamarind,cumin seeds,white urad dal","1,1,1,1,1,1,1,1,1,1,1,1,1"
11,Homemade Baked Beans Recipe (Wholesome & Healthy),"tomato,salt,cumin powder (jeera),pepper ( pepper),cloves garlic,virgin olive oil,onion,dry beans (such cannellini soya beans),red chilli powder cayenne pepper,dried oregano","1,1,1,1,1,1,1,1,1,1"
12,Veg Chili Cheese Burgers Recipe,"cheese,salt,burger buns,potato (aloo) pressure,tomato,soy granules,eggs,cumin powder (jeera),tabasco original sauce,sunflower oil,red chilli powder,cloves garlic,red chilli flakes,jalapenos,onion,green bell pepper (capsicum),wheat bread crumbs,dried oregano","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
13,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,"salt,arhar dal (split toor dal),tamarind water,mustard seeds,asafoetida (hing),curry leaves,cumin seeds (jeera),methi seeds (fenugreek seeds),sunflower oil","1,1,1,1,1,1,1,1,1"
14,And fish soup recipe - Bengali style fish in tomato gravy,"tomato,salt,cumin powder (jeera),coriander powder,bay leaves (tej patta),mustard oil,coriander (dhania) leaves,water,sugar,cumin seeds (jeera),ginger paste,turmeric powder,green chillies,aar maach (fish) rohu katla fish (cut steaks)","1,1,1,1,1,1,1,1,1,1,1,1,1,1"
15,Saunf Aloo (Fennel Potato Curry) Recipe,"fennel seeds (saunf),potato (aloo) skin,milk,red chilli powder,coriander (dhania) leaves,turmeric powder","1,1,1,1,1,1"
16,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"salt,rye,jaggery,black urad dal (split),curry leaves,dry red chillies,onion,oil,tamarind paste,cumin seeds","1,1,1,1,1,1,1,1,1,1"
17,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"green chillies,ginger,bay leaf (tej patta),coriander (dhania) leaves,mint leaves (pudina),cloves garlic,cinnamon stick (dalchini),onion,coriander powder,eggs,cloves (laung),garam masala powder,sunflower oil","1,1,1,1,1,1,1,1,1,1,1,1,1"
18,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,"coriander (dhania) leaves,cucumber grind,salt,green,cumin powder,curd,gourd","1,1,1,1,1,1,1"
19,Homemade Tater Tots Recipe,"salt,rice flour,coriander (dhania) leaves,onion powder,sunflower oil the r tots,flour (maida),red chilli flakes,garlic powder,potato (aloo),dried oregano","1,1,1,1,1,1,1,1,1,1"
